Common_Name,scientific_name,bto_code,bocc5
Serin,Serinus serinus,NS,
Great Skua,Stercorarius skua,NX,Amber
Ortolan Bunting,Emberiza hortulana,OB,
Oystercatcher,Haematopus ostralegus,OC,Amber
Wood Sandpiper,Tringa glareola,OD,Amber
Long-tailed Skua,Stercorarius longicaudus,OG,Green
Golden Oriole,Oriolus oriolus,OL,
Osprey,Pandion haliaetus,OP,Amber
White Stork,Ciconia ciconia,OR,
Sooty Shearwater,Ardenna grisea,OT,Green
Parrot Crossbill,Loxia pytyopsittacus,PC,Amber
Peregrine,Falco peregrinus,PE,Green
Pink-footed Goose,Anser brachyrhynchus,PG,Amber
Pheasant,Phasianus colchicus,PH,
Pomarine Skua,Stercorarius pomarinus,PK,Green
Grey Phalarope,Phalaropus fulicarius,PL,
Ptarmigan,Lagopus muta,PM,Red
Pochard,Aythya ferina,PO,Red
Pectoral Sandpiper,Calidris melanotos,PP,
Richard’s Pipit,Anthus richardi,PR,
Purple Sandpiper,Calidris maritima,PS,Red
Pintail,Anas acuta,PT,Amber
Puffin,Fratercula arctica,PU,Red
Pied Wagtail,Motacilla alba,PW,Green
Quail,Coturnix coturnix,Q.,Amber
Robin,Erithacus rubecula,R.,Green
Razorbill,Alca torda,RA,Amber
Rock Pipit,Anthus petrosus,RC,Green
Redwing,Turdus iliacus,RE,Amber
Rough-legged Buzzard,Buteo lagopus,RF,
Red-throated Diver,Gavia stellata,RH,Green
Ring-necked Parakeet,Psittacula krameri,RI,
Redshank,Tringa totanus,RK,Amber
Red-legged Partridge,Alectoris rufa,RL,
Red-breasted Merganser,Mergus serrator,RM,Amber
Raven,Corvus corax,RN,Green
Rook,Corvus frugilegus,RO,Amber
Red-crested Pochard,Netta rufina,RQ,
Barred Warbler,Sylvia nisoria,RR,
Redstart,Phoenicurus phoenicurus,RT,Amber
Ruff,Calidris pugnax,RU,Red
Reed Warbler,Acrocephalus scirpaceus,RW,Green
Red-necked Grebe,Podiceps grisegena,RX,Red
Ruddy Duck,Oxyura jamaicensis,RY,
Shag,Phalacrocorax aristotelis,SA,Red
Snow Bunting,Plectrophenax nivalis,SB,Amber
Stonechat,Saxicola rubicola,SC,Green
Stock Dove,Columba oenas,SD,Amber
Short-eared Owl,Asio flammeus,SE,Amber
Sparrowhawk,Accipiter nisus,SH,Amber
Swift,Apus apus,SI,Red
Snow Goose,Anser caerulescens,SJ,
Siskin,Spinus spinus,SK,Green
Swallow,Hirundo rustica,SL,Green
Sand Martin,Riparia riparia,SM,Green
Snipe,Gallinago gallinago,SN,Amber
Snowy Owl,Bubo scandiacus,SO,
Great Grey Shrike,Lanius excubitor,SR,
Sanderling,Calidris alba,SS,Amber
Shelduck,Tadorna tadorna,SU,Amber
Shoveler,Spatula clypeata,SV,Amber
Sedge Warbler,Acrocephalus schoenobaenus,SW,Amber
Shore Lark,Eremophila alpestris,SX,Amber
Smew,Mergellus albellus,SY,Red
Slavonian Grebe,Podiceps auritus,SZ,Red
Teal,Anas crecca,T.,Amber
Treecreeper,Certhia familiaris,TC,Green
Sandwich Tern,Thalasseus sandvicensis,TE,Amber
Short-toed Treecreeper,Certhia brachydactyla,TH,Amber
Tawny Pipit,Anthus campestris,TI,
Temminck’s Stint,Calidris temminckii,TK,
Leach’s Petrel,Oceanodroma leucorhoa,TL,Red
Storm Petrel,Hydrobates pelagicus,TM,Amber
Tawny Owl,Strix aluco,TO,Amber
Turnstone,Arenaria interpres,TT,Amber
Tufted Duck,Aythya fuligula,TU,Green
Black Guillemot,Cepphus grylle,TY,Amber
Purple Heron,Ardea purpurea,UR,
Velvet Scoter,Melanitta fusca,VS,Red
Wheatear,Oenanthe oenanthe,W.,Amber
Water Rail,Rallus aquaticus,WA,Green
Whinchat,Saxicola rubetra,WC,Red
White-tailed Eagle,Haliaeetus albicilla,WE,Amber
Whitethroat,Curruca communis,WH,Amber
Water Pipit,Anthus spinoletta,WI,Amber
Woodcock,Scolopax rusticola,WK,Red
Whimbrel,Numenius phaeopus,WM,Red
Wigeon,Mareca penelope,WN,Amber
Woodpigeon,Columba palumbus,WP,Amber
Wren,Troglodytes troglodytes,WR,Amber
Whooper Swan,Cygnus cygnus,WS,Amber
Willow Warbler,Phylloscopus trochilus,WW,Amber
Waxwing,Bombycilla garrulus,WX,Green
Wryneck,Jynx torquilla,WY,
Yellow-browed Warbler,Phylloscopus inornatus,YB,Amber
Gyr Falcon,Falco rusticolus,YF,
